Price,miles(000),age,miles,year,model
15500,24,4,24000,2013,Ex-L
14000,4.8,3,4800,2014,Ex-L
13999,77.254,4,77254,2013,Ex-L
10900,40,9,40000,2008,Ex-L
10500,75.853,5,75853,2012,EX-T
9750,48.138,8,48138,2009,Ex-L
9600,63,8,63000,2009,Ex-L
8999,129.1,7,129100,2010,Ex-L
8500,133,5,133000,2012,Ex-L
8000,75,9,75000,2008,Ex-L
7500,97.8,9,97800,2008,Ex-L
21995,15,1,15000,2016,EX-T
18200,18.58,3,18580,2014,Ex-L
16900,30,2,30000,2015,EX-T
15100,22.4,2,22400,2015,Ex-L
15000,65,4,65000,2013,Ex-L
14975,7.5,2,7500,2015,Ex-L
14900,37.9,2,37900,2015,SE
14200,37.517,4,37517,2013,EX-T
14000,9.3,8,9300,2009,Ex-L
14000,35,4,35000,2013,Ex-L
12950,39.285,4,39285,2013,Ex-L
12500,61.413,5,61413,2012,Ex-L
12500,36.5,5,36500,2012,Ex-L
12000,20.644,4,20644,2013,EX-T
15200,21,4,21000,2013,Ex-L
13900,15.414,2,15414,2015,Ex-L
11500,35,5,35000,2012,Ex-L
8300,100.6,4,100600,2013,Ex-L
7150,114.39,9,114390,2008,EX-T
18999,30,3,30000,2014,Ex-L
18999,2.5,1,2500,2016,EX-T
18900,36,2,36000,2015,Ex-L
18000,39.8,3,39800,2014,Ex-L
16999,24.838,3,24838,2014,Ex-L
16899,18.4,2,18400,2015,Ex-L
16775,6.891,4,6891,2013,Ex-L
15800,18,2,18000,2015,SE
15700,13.5,2,13500,2015,SE
15600,22.4,4,22400,2013,EX-T
13995,20.25,5,20250,2012,Ex-L
12500,44.045,4,44045,2013,Ex-L
9350,64.5,6,64500,2011,Ex-L
5250,160,11,160000,2006,EX-T
4995,148,16,148000,2001,SE
3475,107,28,107000,1989,DX
3195,154,18,154000,1999,DX
2900,178.215,13,178215,2004,DX
8900,105.141,6,105141,2011,DX
7000,110,10,110000,2007,DX
4950,145,12,145000,2005,DX
4200,132.473,13,132473,2004,DX
2500,200,18,200000,1999,DX
2500,122,14,122000,2003,DX
1000,196.85,20,196850,1997,DX
